,p_mood,p_creator,p_name,pitch_mean,pitch_variance,timbre_mean,timbre_variance,intensity_mean,intensity_variance,rhythm_mean,rhythm_variance
1121,energetic,uptown_as,Workout Motivation,0.38643254,0.107295956,5.537531746,0.107295956,-21.79809524,46.56087794,0.18289088,1.54E-06
1122,energetic,uptown_as,Workout Motivation,0.355361111,0.106371396,-4.149394841,0.106371396,-30.48057143,86.92141435,0.16334824,5.38E-06
1123,energetic,uptown_as,Workout Motivation,0.332285714,0.110127314,18.58351984,0.110127314,-26.80511905,99.4612382,0.26785472,1.60E-06
1124,energetic,uptown_as,Workout Motivation,0.268880952,0.095277441,5.335498016,0.095277441,-31.21185714,43.508003,0.3749298,4.23E-05
1125,energetic,uptown_as,Workout Motivation,0.283521825,0.094556878,14.30283333,0.094556878,-33.45519048,86.79032538,0.20976336,1.16E-06
1126,energetic,uptown_as,Workout Motivation,0.331009921,0.101477739,43.02026984,0.101477739,-25.89642857,73.13960254,0.30119832,1.50E-05
1127,energetic,uptown_as,Workout Motivation,0.371613095,0.077059546,-0.044293651,0.077059546,-34.06378571,69.47165173,0.21391008,5.14E-06
1128,energetic,uptown_as,Workout Motivation,0.366791667,0.108702933,10.73023016,0.108702933,-26.18559524,133.3136604,0.28301388,0.010727729
1129,energetic,uptown_as,Workout Motivation,0.245105159,0.081189335,-0.162795635,0.081189335,-32.35738095,28.09068419,0.32566552,9.28E-06
1130,energetic,uptown_as,Workout Motivation,0.27869246,0.098592162,1.269992063,0.098592162,-30.21090476,115.638871,0.18869164,1.09E-06
1131,energetic,uptown_as,Workout Motivation,0.202335317,0.079208506,17.46764683,0.079208506,-17.32457143,41.28499869,0.24394324,0.006627858
1132,energetic,uptown_as,Workout Motivation,0.316662698,0.103960713,8.60280754,0.103960713,-25.01402381,138.1951844,0.2856042,8.90E-06
1133,energetic,uptown_as,Workout Motivation,0.213313492,0.103326414,17.22834127,0.103326414,-24.55735714,78.12615531,0.29998904,6.75E-07
1134,energetic,uptown_as,Workout Motivation,0.313125,0.110168968,-2.97393254,0.110168968,-27.24811905,132.2668072,0.22637532,0.005715817
1135,energetic,uptown_as,Workout Motivation,0.331670635,0.092232368,11.35003571,0.092232368,-33.93554762,153.2569511,0.24190824,2.72E-06
1136,energetic,uptown_as,Workout Motivation,0.230964286,0.082048341,23.92131746,0.082048341,-29.504,63.07661922,0.187512,1.71E-06
