,song_id,p_mood,p_creator,p_name,pitch_mean,pitch_variance,timbre_mean,timbre_variance,intensity_mean,intensity_variance,rhythm_mean,rhythm_variance
57,6WrI0LAC5M1Rw2MnX2ZvEg,energetic,Spotify,Pumped Pop,0.310470238,0.098081271,7.591077381,0.098081271,-27.42838095,293.8338256,0.2417468,3.22E-06
58,7aiClxsDWFRQ0Kzk5KI5ku,energetic,Spotify,Pumped Pop,0.2545,0.100500493,7.954206349,0.100500493,-22.2787619,140.2062742,0.23083028,2.25E-06
59,29fRTIKsJhLUJoldM89GZS,energetic,Spotify,Pumped Pop,0.28940873,0.100897288,-11.42430754,0.100897288,-30.8132381,125.7897229,0.35303897,3.38E-06
60,5NeFmsnXBy6xVbz8pesM5l,energetic,Spotify,Pumped Pop,0.323142857,0.091085665,4.228039683,0.091085665,-20.96519048,97.41626318,0.25262852,1.34E-05
61,7tDqtZnEQcgAE92mEMtgnF,energetic,Spotify,Pumped Pop,0.22818254,0.100946766,0.143160714,0.100946766,-41.89421429,32.62296007,0.33448196,3.55E-05
62,1wjzFQodRWrPcQ0AnYnvQ9,energetic,Spotify,Pumped Pop,0.243531746,0.094754297,4.156077381,0.094754297,-27.05135714,113.3764091,0.32736244,1.78E-05
63,75ylrnob5O80WTKi9ugZ1Z,energetic,Spotify,Pumped Pop,0.287037698,0.084041504,-5.523071429,0.084041504,-24.689,97.813654,0.30582464,4.93E-06
64,6pooRNiLyYpxZeIA5kJ5EX,energetic,Spotify,Pumped Pop,0.304529762,0.077221633,-4.017617063,0.077221633,-30.52740476,19.40950508,0.2083396,1.78E-06
65,22oEJW6r2rMb9z4IntfyEa,energetic,Spotify,Pumped Pop,0.303849206,0.090849961,3.896563492,0.090849961,-23.51492857,216.7188688,0.2780552,7.51E-06
66,6XXYdF6pJR1K3wKvuxmu7n,energetic,Spotify,Pumped Pop,0.280490079,0.094576231,8.271095238,0.094576231,-29.23102381,210.4629298,0.300422,2.39E-05
67,1vsQb8n0icvMsFnL9663LM,energetic,Spotify,Pumped Pop,0.218742063,0.084071739,-4.256640873,0.084071739,-22.3437619,83.7680238,0.28840496,1.06E-05
68,3yOlyBJuViE2YSGn3nVE1K,energetic,Spotify,Pumped Pop,0.244123016,0.100315202,0.465688492,0.100315202,-21.99583333,129.2528347,0.28682668,1.49E-05
69,314ZkcV7oLWG8yWE7LABvH,energetic,Spotify,Pumped Pop,0.272121032,0.094011224,5.764803571,0.094011224,-29.86388095,90.42189581,0.30688126,0.010563805
70,1X8mgsS7R6lcKLjDPeQWum,energetic,Spotify,Pumped Pop,0.218309524,0.093245721,-12.09199603,0.093245721,-32.85214286,111.9854093,0.28499304,0.009070136
71,6wo37KVqFJhtuxPTpLCcfe,energetic,Spotify,Pumped Pop,0.288367063,0.093286945,7.356674603,0.093286945,-20.04780952,109.0577074,0.35003144,0.000273872
72,4y3OI86AEP6PQoDE6olYhO,energetic,Spotify,Pumped Pop,0.223259921,0.090763843,6.824265873,0.090763843,-33.57640476,256.2312037,0.21739424,7.55E-07
73,0hVXuCcriWRGvwMV1r5Yn9,energetic,Spotify,Pumped Pop,0.311916667,0.101859914,6.803990079,0.101859914,-27.3562619,113.5057695,0.29413936,1.01E-06
74,0o6NlHNV7Tet6yh9BC6BGd,energetic,Spotify,Pumped Pop,0.369384921,0.121358488,-10.50660516,0.121358488,-31.17354762,104.0401852,0.26091716,6.47E-07
75,1pBO9JDqh1y3TbCKEO1OvG,energetic,Spotify,Pumped Pop,0.215281746,0.0786766,8.225644841,0.0786766,-29.04985714,142.3926948,0.30046476,1.58E-05
76,35MKhw2YBKApmD7fAnPERC,energetic,Spotify,Pumped Pop,0.271835317,0.086567223,12.19670238,0.086567223,-20.06388095,69.5893645,0.25408304,1.32E-05
